,id,host_is_superhost,host_listings_count,host_identity_verified,accommodates,price,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month
4109,37523572,0,1,0,2,35.0,9,4.22,4.22,0.24
4110,37527985,0,2,1,2,59.0,1,3.0,5.0,0.03
4111,37547727,0,1,0,4,140.0,2,5.0,5.0,0.06
4112,37551762,0,1,0,2,40.0,1,5.0,5.0,0.03
4113,37557193,1,1,1,3,90.0,68,4.97,4.78,1.88
4114,37583585,0,1,1,4,42.0,5,3.8,4.2,0.14
4115,37586169,0,1,1,6,260.0,41,4.29,4.73,1.13
4116,37622448,0,2,0,2,39.0,10,3.38,4.13,0.27
4117,37650683,0,1,0,2,80.0,8,4.75,4.88,0.21
4118,37651902,1,5,1,2,400.0,29,4.69,4.59,0.85
4119,37657468,0,1,0,3,52.0,3,4.67,5.0,0.08
4120,37658435,0,1,0,2,50.0,7,4.86,4.71,0.19
4121,37672918,0,2,1,2,150.0,2,5.0,5.0,0.55
4122,37675901,0,1,1,5,80.0,7,4.5,4.5,0.19
4123,37685618,0,1,0,2,50.0,8,4.88,4.25,0.22
4124,37685678,0,1,0,2,45.0,6,4.5,5.0,0.16
4125,37701994,0,2,0,2,70.0,8,3.75,4.13,0.21
4126,37703653,0,1,1,2,105.0,3,4.33,4.67,0.08
4127,37716525,0,1,0,2,99.0,21,4.9,4.71,0.56
4128,37732561,0,2,1,2,45.0,3,4.33,5.0,0.08
4129,37736016,0,1,1,2,60.0,2,5.0,4.0,0.06
4130,37736165,1,1,1,4,206.0,16,4.88,4.81,0.47
4131,37737048,0,1,0,2,103.0,17,5.0,5.0,0.45
4132,37766048,0,12,1,2,95.0,26,4.54,4.54,0.7
4133,37771431,0,1,0,2,40.0,4,5.0,4.5,0.11
4134,37780942,0,1,0,3,119.0,1,5.0,5.0,0.03
4135,37794300,0,3,1,2,500.0,10,4.0,4.8,0.27
4136,37794773,0,5,1,6,339.0,74,4.76,4.88,2.31
4137,37807515,0,1,0,2,60.0,21,4.81,4.86,0.58
4138,37810719,0,1,1,2,70.0,1,5.0,5.0,0.03
4139,37811383,0,2,1,2,79.0,2,5.0,5.0,0.06
4140,37826083,0,8,1,4,400.0,15,4.67,4.8,0.41
4141,37828902,0,1,0,2,53.0,30,4.79,4.83,0.82
4142,37846423,0,2,0,2,60.0,2,5.0,5.0,0.05
4143,37874237,0,1,1,1,150.0,2,5.0,5.0,0.05
4144,37894104,0,1,0,4,50.0,2,1.0,5.0,0.05
4145,37962744,0,2,0,2,46.0,4,5.0,4.75,0.11
4146,37968060,0,7,1,4,1008.0,7,5.0,5.0,0.23
4147,37970593,0,1,0,2,75.0,37,4.86,4.83,1.0
4148,37984315,0,2,1,2,409.0,32,4.78,4.94,0.99
4149,38022106,0,1,0,2,79.0,33,5.0,4.79,0.89
4150,38033524,0,1,1,2,59.0,3,5.0,4.67,0.08
4151,38034541,1,2,1,2,82.0,111,4.86,4.87,3.31
4152,38036678,0,4,1,1,88.0,91,4.84,4.73,2.46
4153,38042062,0,1,1,2,74.0,5,4.0,5.0,0.14
4154,38061443,1,2,1,2,115.0,16,5.0,4.94,0.45
4155,38095951,0,12,1,2,95.0,24,4.54,4.42,0.65
4156,38100726,0,7,1,2,1932.0,24,4.67,4.92,0.78
4157,38112673,0,2,1,2,409.0,50,4.68,4.86,1.41
4158,38124234,0,1,1,2,50.0,12,4.82,4.73,0.33
4159,38130718,0,1,1,2,87.0,15,4.87,4.47,3.19
4160,38131220,1,3,1,2,80.0,30,4.97,4.97,0.85
